brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,warranty,Touchscreen,msoffice,rating,Price
1,1,1,0,2,1,0,1,2,1,0,3,0,0,1,34649
5,1,1,0,2,1,0,1,2,1,0,3,0,0,2,38999
5,1,1,0,2,1,0,1,2,1,0,3,0,0,2,39999
1,1,2,0,3,1,6,0,2,0,1,3,0,0,2,69990
1,1,0,7,2,1,0,3,2,1,0,3,0,0,2,26990
1,1,0,7,2,1,0,3,2,1,0,3,0,0,2,22990
1,1,0,7,2,1,0,3,2,0,0,3,0,0,2,21990
1,1,2,0,3,1,0,1,2,0,1,3,0,0,2,58799
5,1,2,0,2,1,0,1,2,0,0,3,0,0,2,49999
7,0,8,0,2,1,0,3,2,0,2,3,0,0,3,59990
7,0,8,0,2,1,0,3,2,0,3,3,0,0,3,93700
7,0,8,0,2,1,0,3,2,0,2,3,0,0,3,72990
2,1,0,7,2,1,0,3,2,1,0,3,0,0,2,17490
1,1,1,1,2,1,4,0,2,1,0,3,0,0,2,35990
4,1,1,1,3,1,4,0,2,1,0,0,0,0,2,56490
4,1,2,1,3,1,4,0,2,1,0,0,0,0,2,65390
5,1,0,7,2,1,4,0,2,1,0,3,0,0,3,31999
4,1,0,7,3,1,4,0,2,1,0,3,0,0,3,32490
5,1,0,7,2,1,4,0,2,1,0,3,0,0,2,31799
1,1,0,7,2,1,4,0,2,1,0,3,0,0,3,29890
1,1,0,7,2,1,0,1,2,1,0,0,0,0,2,23990
4,1,1,4,2,1,0,1,2,1,0,3,0,0,3,32955
4,1,2,4,2,1,0,1,2,0,1,3,0,0,3,46200
1,1,1,1,2,1,4,0,2,1,0,3,0,0,3,34429
5,1,1,0,3,1,4,0,2,0,0,1,0,0,3,37990
1,1,1,1,2,1,4,0,2,0,0,0,0,0,3,35990
1,1,1,0,3,1,4,0,2,1,0,3,0,0,3,33980
4,1,1,1,3,1,4,0,2,1,0,0,0,0,3,39990
3,1,1,0,3,1,4,0,2,1,0,0,0,0,3,39490
4,1,1,1,3,1,4,0,2,1,0,0,0,0,3,53990
7,1,1,1,3,1,4,0,2,1,0,0,0,0,2,38990
1,1,1,1,3,1,4,0,2,1,0,0,0,0,3,37990
1,1,1,1,3,1,4,0,2,1,0,0,0,0,3,37890
5,1,1,1,3,1,4,0,2,1,0,0,0,0,3,38990
5,1,1,0,3,1,4,0,2,1,0,3,0,0,3,37990
3,1,1,1,3,1,4,0,2,1,0,0,0,0,2,41990
1,1,1,1,3,1,4,0,2,1,0,0,0,0,3,45990
5,1,1,1,3,1,4,0,2,1,0,0,0,0,3,39990
3,1,1,1,3,1,4,0,2,1,0,3,0,0,3,42490
3,1,1,0,2,1,4,0,2,1,0,0,0,0,3,36990
5,1,1,1,3,1,4,0,2,1,0,0,0,0,3,53990
1,1,1,1,3,1,4,0,2,1,0,3,0,0,3,36990
5,1,1,0,2,1,4,0,2,1,0,1,0,0,3,38940
3,1,1,0,2,1,4,0,2,1,0,0,0,0,3,39490
5,1,1,0,3,1,4,0,2,1,0,1,0,0,4,39999
3,1,1,1,3,1,4,0,2,1,0,0,0,0,3,42990
3,1,1,1,3,1,4,0,2,1,0,0,0,0,3,49990
3,1,1,1,3,1,4,0,2,1,0,0,0,0,3,41490
3,1,1,1,3,1,4,0,2,1,0,3,0,0,3,41990
5,1,1,1,3,1,4,0,2,1,0,0,0,0,3,41990
1,1,1,1,3,1,4,0,2,1,0,0,0,0,2,38490
5,1,1,1,2,1,4,0,2,1,0,0,0,0,3,38990
5,1,1,1,2,1,4,0,2,1,0,0,0,0,3,44990
5,1,1,0,2,1,4,0,2,1,0,3,0,0,2,36490
5,1,1,0,3,1,4,0,2,0,0,3,0,0,2,38970
4,1,1,1,2,1,4,0,2,1,0,0,0,0,3,44900
6,1,1,0,2,1,4,0,2,1,0,3,0,0,3,38990
3,1,1,1,2,1,4,0,2,1,0,3,0,0,2,44427
1,1,1,0,2,1,4,0,2,1,0,0,0,0,2,35990
5,1,1,0,2,1,4,0,2,1,0,0,0,0,2,40200
5,1,1,0,2,1,4,0,2,0,0,3,0,0,2,40990
3,1,1,0,2,1,4,0,2,1,0,0,0,0,2,42490
7,1,0,7,2,1,0,3,2,0,0,3,0,0,2,23990
